               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.028849,            0.010064,           0.0088365,             0.97345,             0.98831,               0.995,             0.70727,            0.015391,           0.0051917,          0.00076548,            0.004654,            0.004654,            0.004654
                  56,            0.027884,           0.0095003,           0.0082925,             0.94029,             0.96495,               0.995,             0.70988,            0.016086,           0.0058081,           0.0013522,            0.004555,            0.004555,            0.004555
                  57,            0.030265,           0.0097131,           0.0073977,             0.93591,             0.98027,               0.995,             0.71713,            0.014916,           0.0055436,           0.0020797,            0.004456,            0.004456,            0.004456
                  58,            0.028494,            0.010264,            0.010471,             0.93907,             0.96403,               0.995,              0.7339,            0.014438,           0.0052376,           0.0021651,            0.004357,            0.004357,            0.004357
                  59,            0.026754,            0.010532,           0.0075278,             0.97857,              0.9818,               0.995,             0.72217,            0.014406,           0.0050667,           0.0012536,            0.004258,            0.004258,            0.004258
                  60,            0.027849,           0.0098374,           0.0079941,             0.96923,             0.97714,               0.995,             0.75531,            0.013884,           0.0049218,           0.0025714,            0.004159,            0.004159,            0.004159
                  61,            0.027146,              0.0104,           0.0055329,             0.95782,             0.98649,               0.995,             0.75339,            0.014392,           0.0050937,           0.0029318,             0.00406,             0.00406,             0.00406
                  62,            0.027544,           0.0098077,           0.0073848,             0.96003,              0.9894,               0.995,             0.74419,            0.014014,           0.0050199,           0.0023471,            0.003961,            0.003961,            0.003961
                  63,            0.026066,            0.010196,           0.0073015,             0.98498,             0.96776,              0.9928,             0.76073,             0.01377,           0.0049488,           0.0011875,            0.003862,            0.003862,            0.003862
                  64,            0.024539,            0.009205,           0.0089345,             0.97849,             0.99648,               0.995,             0.75481,            0.013639,           0.0049228,          0.00081761,            0.003763,            0.003763,            0.003763
                  65,            0.025332,           0.0095428,           0.0071966,             0.98447,             0.99876,               0.995,             0.73105,            0.014518,           0.0052388,           0.0005595,            0.003664,            0.003664,            0.003664
